name,detail_link,dati_anagrafici,gruppo,gruppi,legislatura
CORTESE Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9252,,,Gruppo Partito Socialista Italiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
COSATTINI Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9253,,,Gruppo Partito Socialista Italiano : Vicepresidente dall'8 maggio 1948 al 31 dicembre 1950; Gruppo Misto : Membro dal 1 gennaio 1951 al 18 giugno 1951; Gruppo PSI (Sezione Italiana dell'Internaz. Socialista) : Vicepresidente dal 19 giugno 1951 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
CROCE Benedetto,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9254,,,Gruppo Liberale : Membro dall'8 maggio 1948 al 20 novembre 1952,1
D'ARAGONA Ludovico,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9255,,,Gruppo Unita' Socialista : Membro dall'8 maggio 1948 al 18 giugno 1951 (dal 1 gennaio 1950 il Gruppo assume la denominazione Partito Socialista dei Lavoratori Italiani) Presidente dal 19 giugno 1951 al 24 giugno 1953 (dal 13 febbraio 1952 il Gruppo assume la denominazione Partito Socialista Democratico Italiano),1
D'INCA' Agostino,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9265,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 2 settembre 1950,1
D'ONOFRIO Edoardo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9266,,,Gruppo Comunista : Membro dall'8 maggio 1948 al 24 giugno 1953,1
DAMAGGIO Giuseppe,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=7291,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
DE BOSIO Francesco,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=6686,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
DE GASPERIS Giovanni,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9256,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
DE LUCA Carlo,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9257,,,Gruppo Democratico Cristiano : Vicepresidente dall'8 maggio 1948 al 24 giugno 1953,1
DE LUZENBERGER Raul,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9258,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 5 febbraio 1950,1
DE NICOLA Enrico,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9259,,,Gruppo Misto : Membro dal 12 maggio 1948 al 20 marzo 1953 Presidente dal 21 marzo 1953 al 24 giugno 1953,1
DE PIETRO Michele,https://www.senato.it/legislature/1/composizione/senatori/elenco-alfabetico/scheda-attivita?did=9260,,,Gruppo Democratico Cristiano : Membro dall'8 maggio 1948 al 24 giugno 1953,1
